"paragraf","hovedomrode","aktivitet","hovedkonto","aar","udgift"
"Dronningen ","Statsydelse ","Statsydelse ","Statsydelse ","2014",77.7
"Medlemmer af det kongelige hus m.fl. ","Årpenge mv. ","Årpenge mv. ","Årpenge mv. ","2014",26.4
"Folketinget ","Udgifter ved Folketinget ","Folketinget ","Folketinget ","2014",387.8
"Folketinget ","Udgifter ved Folketinget ","Folketinget ","Folketingets medlemmer ","2014",264.2
"Folketinget ","Udgifter ved Folketinget ","Folketinget ","Erhvervelse af medlemsboliger ","2014",6.5
"Folketinget ","Udgifter ved Folketinget ","Folketinget ","Medlemsboliger ","2014",2.2
"Folketinget ","Folketingets Ombudsmand ","Folketingets Ombudsmand ","Folketingets Ombudsmand ","2014",63.3
"Folketinget ","Statsrevisorerne og Rigsrevisionen ","Statsrevisorerne og Rigsrevisionen ","Statsrevisorerne ","2014",5
"Folketinget ","Statsrevisorerne og Rigsrevisionen ","Statsrevisorerne og Rigsrevisionen ","Rigsrevisionen ","2014",202.5
"Folketinget ","Folketingets pensioner ","Folketingets pensioner ","Folketingets pensioner ","2014",76.7
"Statsministeriet ","Fællesudgifter ","Centralstyrelsen ","Departementet ","2014",88.8
"Statsministeriet ","Fællesudgifter ","Centralstyrelsen ","Tilskud ","2014",0.5
"Statsministeriet ","Fællesudgifter ","Grønland og Færøerne ","Rigsombudsmanden i Grønland ","2014",10.1
"Statsministeriet ","Fællesudgifter ","Grønland og Færøerne ","Rigsombudsmanden på Færøerne ","2014",10.7
"Udenrigsministeriet ","Udenrigstjenesten mv. ","Udenrigstjenesten mv. ","Udenrigstjenesten ","2014",1761
"Udenrigsministeriet ","Udenrigstjenesten mv. ","Udenrigstjenesten mv. ","Indtægter fra borgerserviceydelser ","2014",-75
"Udenrigsministeriet ","Udenrigstjenesten mv. ","Udenrigstjenesten mv. ","Renteindtægt af diverse tilgodehavender ","2014",-16.4
"Udenrigsministeriet ","Udenrigstjenesten mv. ","Udenrigstjenesten mv. ","IMR ","2014",38.8
"Udenrigsministeriet ","Udenrigstjenesten mv. ","Udenrigstjenesten mv. ","Dansk Institut for Internationale Studier ","2014",27
"Udenrigsministeriet ","Udenrigstjenesten mv. ","Udenrigstjenesten mv. ","Ikke-lovbundne tilskud ","2014",40.4
"Udenrigsministeriet ","Udenrigstjenesten mv. ","Udenrigstjenesten mv. ","Bilateralt naboskabsprogram ","2014",-0.3
"Udenrigsministeriet ","Udenrigstjenesten mv. ","Udenrigstjenesten mv. ","Udlodninger fra IØ og IFU ","2014",-125
"Udenrigsministeriet ","Internationale organisationer ","Nordiske formål ","Nordisk Ministerråd ","2014",107
"Udenrigsministeriet ","Internationale organisationer ","Øvrige internationale organisationer ","Fredsbevarende operationer ","2014",273.3
"Udenrigsministeriet ","Internationale organisationer ","Øvrige internationale organisationer ","Øvrige organisationer ","2014",234.4
"Udenrigsministeriet ","Internationale organisationer ","Øvrige internationale organisationer ","Den Europæiske Investeringsbank ","2014",-7.1
"Udenrigsministeriet ","Bistand til udviklingslandene ","Reserver ","Reserver og budgetreguleringer ","2014",0
"Udenrigsministeriet ","Bistand til udviklingslandene ","Bilateral bistand ","Udviklingslande i Afrika ","2014",2329
"Udenrigsministeriet ","Bistand til udviklingslandene ","Bilateral bistand ","Udviklingslande i Asien og Latinamerika ","2014",1050.7
"Udenrigsministeriet ","Bistand til udviklingslandene ","Bilateral bistand ","Personelbistand og myndighedssamarbejde ","2014",284.5
"Udenrigsministeriet ","Bistand til udviklingslandene ","Bilateral bistand ","Danidas erhvervsplatform ","2014",360.9
"Udenrigsministeriet ","Bistand til udviklingslandene ","Bilateral bistand ","Lånebistand ","2014",-45.5
"Udenrigsministeriet ","Bistand til udviklingslandene ","Bilateral bistand ","Øvrig bistand ","2014",416.9
"Udenrigsministeriet ","Bistand til udviklingslandene ","Bilateral bistand ","Det Arabiske Initiativ ","2014",274.8
"Udenrigsministeriet ","Bistand til udviklingslandene ","Bilateral bistand ","Naboskabsprogram ","2014",193.3
"Udenrigsministeriet ","Bistand til udviklingslandene ","Bistand gennem civilsamfundsorganisationer ","Bistand gennem civilsamfundsorganisationer ","2014",1011.8
"Udenrigsministeriet ","Bistand til udviklingslandene ","Naturressourcer, energi og klimaforandringer ","Naturressourcer, energi og klimaforandringer ","2014",1203.6
"Udenrigsministeriet ","Bistand til udviklingslandene ","Forsknings- og oplysningsvirksomhed ","Forskning og oplysning i Danmark mv. ","2014",236.7
"Udenrigsministeriet ","Bistand til udviklingslandene ","Forsknings- og oplysningsvirksomhed ","International udviklingsforskning ","2014",12
"Udenrigsministeriet ","Bistand til udviklingslandene ","Multilateral bistand gennem FN mv. ","UNDP ","2014",615.8
"Udenrigsministeriet ","Bistand til udviklingslandene ","Multilateral bistand gennem FN mv. ","De Forenede Nationers Børnefond (UNICEF) ","2014",290
"Udenrigsministeriet ","Bistand til udviklingslandene ","Multilateral bistand gennem FN mv. ","HIV/AIDS, Befolknings- og sundhedsprogrammer ","2014",802
"Udenrigsministeriet ","Bistand til udviklingslandene ","Multilateral bistand gennem FN mv. ","FN-programmer for landbrugsudvikling ","2014",0
"Udenrigsministeriet ","Bistand til udviklingslandene ","Multilateral bistand gennem FN mv. ","Globale Miljøprogrammer ","2014",-0.3
"Udenrigsministeriet ","Bistand til udviklingslandene ","Multilateral bistand gennem FN mv. ","FNUD ","2014",297.5
"Udenrigsministeriet ","Bistand til udviklingslandene ","Udviklingsbanker, -fonde og EU ","Verdensbankgruppen ","2014",897
"Udenrigsministeriet ","Bistand til udviklingslandene ","Udviklingsbanker, -fonde og EU ","Regionale udviklingsbanker ","2014",-0.1
"Udenrigsministeriet ","Bistand til udviklingslandene ","Udviklingsbanker, -fonde og EU ","Udviklingsfonde m.v. ","2014",176.2
"Udenrigsministeriet ","Bistand til udviklingslandene ","Udviklingsbanker, -fonde og EU ","Bistand gennem Den Europæiske Union (EU) ","2014",484.7
"Udenrigsministeriet ","Bistand til udviklingslandene ","Humanitær bistand ","Humanitære organisationer ","2014",610
"Udenrigsministeriet ","Bistand til udviklingslandene ","Humanitær bistand ","Humanitære bidrag kriser ","2014",-8.3
"Udenrigsministeriet ","Bistand til udviklingslandene ","Humanitær bistand ","Hum bidrag til partnere ","2014",1631
"Udenrigsministeriet ","eksportfremme ","Fællesudgifter ","Eksportstipendiater og handelskontorer ","2014",46.7
"Udenrigsministeriet ","eksportfremme ","Fællesudgifter ","Særlige eksportfremmetilskud ","2014",46.3
"Finansministeriet ","Offentlig økonomi ","Centralstyrelsen ","Departementet ","2014",249.2
"Finansministeriet ","Offentlig økonomi ","Centralstyrelsen ","Effektivisering af offentlige institutioner ","2014",77.4
"Finansministeriet ","Offentlig økonomi ","Centralstyrelsen ","DREAM-gruppen ","2014",1.6
"Finansministeriet ","Offentlig økonomi ","Centralstyrelsen ","De Økonomiske Råd ","2014",27
"Finansministeriet ","Offentlig økonomi ","Centralstyrelsen ","Reserve til udf. af statslige arb.pl. ","2014",0
"Finansministeriet ","Offentlig økonomi ","Centralstyrelsen ","Reserver og budgetregulering ","2014",0
"Finansministeriet ","Offentlig økonomi ","Digitalisering ","Digitaliseringsstyrelsen ","2014",103.4
"Finansministeriet ","Offentlig økonomi ","Digitalisering ","Fællesoffentlige initiativer ","2014",123.3
"Finansministeriet ","Offentlig økonomi ","Digitalisering ","Fonden for Velfærdsteknologi ","2014",34.5
"Finansministeriet ","Offentlig økonomi ","Digitalisering ","Netværkssamfundet ","2014",12.3
"Finansministeriet ","Offentlig økonomi ","Digitalisering ","Borger.dk ","2014",47.6
"Finansministeriet ","Offentlig økonomi ","Digitalisering ","Digital signatur ","2014",65.2
"Finansministeriet ","Offentlig økonomi ","Administration ","Statens Administration ","2014",26.2
"Finansministeriet ","Offentlig økonomi ","Administration ","Fleksjobordning i staten mv. ","2014",-14.4
"Finansministeriet ","Offentlig økonomi ","Administration ","Barselsfonden ","2014",345.8
"Finansministeriet ","Offentlig økonomi ","Administration ","Afdrag på lån under bestyrelse af SAM ","2014",-3.5
"Finansministeriet ","Offentlig økonomi ","Administration ","Afskrivninger af uerholdelige beløb ","2014",0
"Finansministeriet ","Offentlig økonomi ","Administration ","Diverse indtægter mv. ","2014",-108.3
"Finansministeriet ","Offentlig økonomi ","Administration ","Regulering vedr. Udlodningsloven ","2014",346.4
"Finansministeriet ","Offentlig økonomi ","Administration ","Renteindtægter mv. ","2014",0
"Finansministeriet ","Offentlig økonomi ","Modernisering af den offentlige sektor ","Moderniseringsstyrelsen ","2014",188.2
"Finansministeriet ","Offentlig økonomi ","Modernisering af den offentlige sektor ","Ledelsespolitiske initiativer ","2014",0.3
"Finansministeriet ","Offentlig økonomi ","Modernisering af den offentlige sektor ","Implementerings- og systemudviklingspuljen ","2014",32.1
"Finansministeriet ","Offentlig økonomi ","Modernisering af den offentlige sektor ","Vederlag mv. til ministre ","2014",23
"Finansministeriet ","Offentlig økonomi ","Modernisering af den offentlige sektor ","Kompetencesekretariatet ","2014",16.5
"Finansministeriet ","Offentlig økonomi ","Modernisering af den offentlige sektor ","Kompetencefonden ","2014",34.3
"Finansministeriet ","Offentlig økonomi ","Modernisering af den offentlige sektor ","Initiativer vedr. kompetenceudvikling ","2014",0
"Finansministeriet ","Offentlig økonomi ","Modernisering af den offentlige sektor ","Fond til udvikling af statens arbejdspladser ","2014",28.1
"Finansministeriet ","Offentlig økonomi ","Modernisering af den offentlige sektor ","Europa-Parlamentet ","2014",0.1
"Finansministeriet ","Offentlig økonomi ","Modernisering af den offentlige sektor ","Lønforskud ","2014",0
"Finansministeriet ","Offentlig økonomi ","Modernisering af den offentlige sektor ","Udlånte statstjenestemænd ","2014",0
"Finansministeriet ","Offentlig økonomi ","Statslige selskaber ","Udbytte fra statslige selskaber ","2014",-635.4
"Finansministeriet ","Offentlig økonomi ","Statslige selskaber ","Salgsindtægter ","2014",5.8
"Finansministeriet ","Offentlig økonomi ","Statslige selskaber ","Indt. fra Danske Spils overskud i Grønland ","2014",-29.2
"Finansministeriet ","Offentlig økonomi ","Statslige selskaber ","Statens Ejendomssalg A/S ","2014",359.6
"Finansministeriet ","Offentlig økonomi ","Statslige selskaber ","Indskud i fonde mv. ","2014",0
"Finansministeriet ","Offentlig økonomi ","Statslige selskaber ","Aktiedispositioner ","2014",1529.5
"Finansministeriet ","Offentlig økonomi ","Statens It ","Statens It ","2014",29.8
"Finansministeriet ","Offentlig økonomi ","Udlodningsloven ","Fond til undervisning og folkeoplysning ","2014",0
"Finansministeriet ","Offentlig økonomi ","Udlodningsloven ","Fond til humanitære og almennyttige formål ","2014",0
"Finansministeriet ","Offentlig økonomi ","Udlodningsloven ","Administration af udlodning ","2014",0
"Finansministeriet ","Offentlig økonomi ","Udlodningsloven ","Fond til idrætsorganisationer mv. ","2014",0
"Finansministeriet ","Offentlig økonomi ","Udlodningsloven ","Fond til kulturelle formål mv. ","2014",0
"Finansministeriet ","Offentlig økonomi ","Udlodningsloven ","Fond til forskningsformål ","2014",0
"Finansministeriet ","Offentlig økonomi ","Udlodningsloven ","Sundheds- og Ældreministeriet ","2014",0
"Finansministeriet ","Offentlig økonomi ","Udlodningsloven ","Miljøministeriets fond til friluftsliv ","2014",0
"Finansministeriet ","Offentlig økonomi ","Udlodningsloven ","Social- og Indenrigsministeriet ","2014",0
"Finansministeriet ","Grønland og Færøerne ","Grønland ","Generelt tilskud til Grønlands Selvstyre ","2014",3642.2
"Finansministeriet ","Grønland og Færøerne ","Grønland ","Tilskud til Grønlands Selvstyre spilleområdet ","2014",39
"Finansministeriet ","Grønland og Færøerne ","Færøerne ","Generelt tilskud til Færøernes hjemmestyre ","2014",635.4
"Finansministeriet ","Grønland og Færøerne ","Færøerne ","Tilskud til Færøernes hjemmestyre ","2014",8.2
"Finansministeriet ","Danmarks bidrag til EU's egne indtægter ","Danmarks bidrag til EU's egne indtægter ","Told ","2014",-2962.5
"Finansministeriet ","Danmarks bidrag til EU's egne indtægter ","Danmarks bidrag til EU's egne indtægter ","Sukkerafgifter ","2014",44.3
"Finansministeriet ","Danmarks bidrag til EU's egne indtægter ","Danmarks bidrag til EU's egne indtægter ","EU told og sukkerafgifter ","2014",2220.5
"Finansministeriet ","Danmarks bidrag til EU's egne indtægter ","Danmarks bidrag til EU's egne indtægter ","Bidrag til EU vedrørende moms og BNI ","2014",15725.8
"Erhvervs- og Vækstministeriet ","Fællesudgifter ","Centralstyrelsen ","Departementet ","2014",170.9
"Erhvervs- og Vækstministeriet ","Fællesudgifter ","Centralstyrelsen ","Renter, Erhvervs- og Vækstministeriet ","2014",-0.2
"Erhvervs- og Vækstministeriet ","Fællesudgifter ","Centralstyrelsen ","Reserver og budgetregulering ","2014",0
"Erhvervs- og Vækstministeriet ","Erhvervsregulering ","Erhvervsreg. og forbrugerbeskyttelse ","Konkurrence- og Forbrugerstyrelsen ","2014",171.6
"Erhvervs- og Vækstministeriet ","Erhvervsregulering ","Erhvervsreg. og forbrugerbeskyttelse ","Forskellige indtægter under KFST ","2014",-15.1
"Erhvervs- og Vækstministeriet ","Erhvervsregulering ","Erhvervsreg. og forbrugerbeskyttelse ","Tilskud til Dansk Varefakta Nævn ","2014",0.7
"Erhvervs- og Vækstministeriet ","Erhvervsregulering ","Erhvervsreg. og forbrugerbeskyttelse ","Forbrugerrådet Tænk ","2014",22.4
"Erhvervs- og Vækstministeriet ","Erhvervsregulering ","Erhvervsreg. og forbrugerbeskyttelse ","Stormflod og stormfald ","2014",400
"Erhvervs- og Vækstministeriet ","Erhvervsregulering ","Erhvervsreg. og forbrugerbeskyttelse ","Erhvervsstyrelsen ","2014",456.1
"Erhvervs- og Vækstministeriet ","Erhvervsregulering ","Erhvervsreg. og forbrugerbeskyttelse ","Forskellige indtægter under Erhvervsstyrelsen ","2014",-20.9
"Erhvervs- og Vækstministeriet ","Erhvervsregulering ","Erhvervsreg. og forbrugerbeskyttelse ","Vejnings- og målingsfonden ","2014",0.2
"Erhvervs- og Vækstministeriet ","Erhvervsregulering ","Erhvervsreg. og forbrugerbeskyttelse ","Patent- og Varemærkestyrelsen ","2014",0
"Erhvervs- og Vækstministeriet ","Erhvervsregulering ","Erhvervsreg. og forbrugerbeskyttelse ","Finansielle sager hos Forbrugerombudsmanden ","2014",0
"Erhvervs- og Vækstministeriet ","Erhvervsregulering ","Erhvervs- og sikkerhedsforhold ","Sikkerhedsstyrelsen ","2014",14.6
"Erhvervs- og Vækstministeriet ","Erhvervsregulering ","Erhvervs- og sikkerhedsforhold ","Tilskud til Ædelmetalkontrollen mv. ","2014",3
"Erhvervs- og Vækstministeriet ","Erhvervsregulering ","Erhvervs- og sikkerhedsforhold ","Akkreditering ","2014",4.8
"Erhvervs- og Vækstministeriet ","Erhvervsregulering ","Finansielt tilsyn ","Finanstilsynet ","2014",0
"Erhvervs- og Vækstministeriet ","Erhvervsregulering ","Finansielt tilsyn ","Forskellige indtægter under Finanstilsynet ","2014",-0.3
"Erhvervs- og Vækstministeriet ","Erhvervsregulering ","Finansielt tilsyn ","Indt. vedr. risikopræmie for terrorforsikring ","2014",-16.5
"Erhvervs- og Vækstministeriet ","Erhvervsregulering ","Finansielt tilsyn ","Krisehåndteringsopgaver i Finansiel Stabilite ","2014",0
"Erhvervs- og Vækstministeriet ","Erhvervsregulering ","Finansielt tilsyn ","Indtægter fra Bankpakken og Kreditpakken ","2014",-72.2
"Erhvervs- og Vækstministeriet ","Erhvervsregulering ","Nordsøfonden mv. ","Enhed til administration af fonden ","2014",-10.7
"Erhvervs- og Vækstministeriet ","Erhvervsregulering ","Nordsøfonden mv. ","Udbytte fra Nordsøfonden ","2014",-1600
"Erhvervs- og Vækstministeriet ","Erhvervsregulering ","Nordsøfonden mv. ","Omdannelse af Nordsøenheden til SOV ","2014",10.7
"Erhvervs- og Vækstministeriet ","Erhvervsfremme ","Fællesudgifter ","Tilskud til standardisering mv. ","2014",28.1
"Erhvervs- og Vækstministeriet ","Erhvervsfremme ","Fællesudgifter ","Reserver og budgetregulering, budg.ramme ","2014",0
"Erhvervs- og Vækstministeriet ","Erhvervsfremme ","Erhvervsudvikling, iværksætteri og innovation ","Markedsmodningsfonden ","2014",129.9
"Erhvervs- og Vækstministeriet ","Erhvervsfremme ","Erhvervsudvikling, iværksætteri og innovation ","Program for brugerdreven innovation ","2014",-1
"Erhvervs- og Vækstministeriet ","Erhvervsfremme ","Erhvervsudvikling, iværksætteri og innovation ","Iværksætteri- og innovationsinitiativer ","2014",24.3
"Erhvervs- og Vækstministeriet ","Erhvervsfremme ","Erhvervsudvikling, iværksætteri og innovation ","Væksthusene og grønt iværksætterhus ","2014",18.9
"Erhvervs- og Vækstministeriet ","Erhvervsfremme ","Erhvervsudvikling, iværksætteri og innovation ","Design ","2014",28.5
"Erhvervs- og Vækstministeriet ","Erhvervsfremme ","Erhvervsudvikling, iværksætteri og innovation ","Kultur- og oplevelsesøkonomi ","2014",2.4
"Erhvervs- og Vækstministeriet ","Erhvervsfremme ","Erhvervsudvikling, iværksætteri og innovation ","Hjemmeservice ","2014",0.2
"Erhvervs- og Vækstministeriet ","Erhvervsfremme ","Erhvervsudvikling, iværksætteri og innovation ","Reserve til grøn omstillingsfond ","2014",29.3
"Erhvervs- og Vækstministeriet ","Erhvervsfremme ","Erhvervsudvikling, iværksætteri og innovation ","Shredder-pulje ","2014",12
"Erhvervs- og Vækstministeriet ","Erhvervsfremme ","Vækstfinansiering ","Vækstfonden ","2014",32.7
"Erhvervs- og Vækstministeriet ","Erhvervsfremme ","Vækstfinansiering ","Eksport Kredit Fonden ","2014",-4.3
"Erhvervs- og Vækstministeriet ","Erhvervsfremme ","Vækstfinansiering ","Ordninger under Eksport Kredit Fonden ","2014",-29.8
"Erhvervs- og Vækstministeriet ","Erhvervsfremme ","Vækstfinansiering ","Afvikling af ophørte ordninger ","2014",0
"Erhvervs- og Vækstministeriet ","Erhvervsfremme ","Vækstfinansiering ","Afvikling af diverse lån ","2014",0.1
"Erhvervs- og Vækstministeriet ","Erhvervsfremme ","Vækstfinansiering ","Den Nordiske Investeringsbank ","2014",-53.6
"Erhvervs- og Vækstministeriet ","Erhvervsfremme ","Vækstfinansiering ","Danmarks Grønne Investeringsfond ","2014",15
"Erhvervs- og Vækstministeriet ","Erhvervsfremme ","Markedsføring af Danmark ","Markedsføring af Danmark ","2014",14.9
"Erhvervs- og Vækstministeriet ","Erhvervsfremme ","Markedsføring af Danmark ","Turismeinitiativer ","2014",140.1
"Erhvervs- og Vækstministeriet ","Erhvervsfremme ","Regionaludvikling ","Regionaludvikling mv. ","2014",17.5
"Erhvervs- og Vækstministeriet ","Erhvervsfremme ","Regionaludvikling ","Regional erhvervsudvikling ","2014",0.5
"Erhvervs- og Vækstministeriet ","Erhvervsfremme ","Regionaludvikling ","Udvikling af landdistrikterne, landdistriktpg ","2014",-16.8
"Erhvervs- og Vækstministeriet ","Erhvervsfremme ","Regionaludvikling ","LAG under fiskeri ","2014",-1.2
"Erhvervs- og Vækstministeriet ","Erhvervsfremme ","Regionaludvikling ","Pulje til forsøgsvirksomhed ","2014",24.1
"Erhvervs- og Vækstministeriet ","Erhvervsfremme ","Regionaludvikling ","Støtte til styrket indsats i udkantsområderne ","2014",199.9
"Erhvervs- og Vækstministeriet ","Erhvervsfremme ","Regionaludvikling ","Lån og garantier vedr. landdistrikter mv. ","2014",-1.8
"Erhvervs- og Vækstministeriet ","Erhvervsfremme ","Regionaludvikling ","Afskrivninger på lån vedr. Landdistrikter mv. ","2014",0.3
"Erhvervs- og Vækstministeriet ","Erhvervsfremme ","Regionaludvikling ","indtægter ift. huseftersynsordningen ","2014",0
"Erhvervs- og Vækstministeriet ","Erhvervsfremme ","Regionaludvikling ","DIADEM ","2014",1.3
"Erhvervs- og Vækstministeriet ","Erhvervsfremme ","Regionaludvikling ","Ejendomsoplysninger ","2014",-0.1
"Erhvervs- og Vækstministeriet ","Søfart ","Søfart ","Søfartsstyrelsen ","2014",261.1
"Erhvervs- og Vækstministeriet ","Søfart ","Søfart ","Den Maritime Havarikommission ","2014",4.2
"Erhvervs- og Vækstministeriet ","Søfart ","Søfart ","Registreringsafgift for skibe ","2014",-0.8
"Erhvervs- og Vækstministeriet ","Søfart ","Søfart ","Velfærdsforanstaltninger, forsikring mv. ","2014",1.3
"Erhvervs- og Vækstministeriet ","Søfart ","Søfart ","Forskellige tilskud ","2014",5.1
"Skatteministeriet ","Fællesudgifter ","Centralstyrelsen ","Departementet ","2014",161.9
"Skatteministeriet ","Fællesudgifter ","Centralstyrelsen ","Skatteankestyrelsen ","2014",161.2
"Skatteministeriet ","Fællesudgifter ","Centralstyrelsen ","Klagegebyr ","2014",-2.9
"Skatteministeriet ","Fællesudgifter ","Centralstyrelsen ","Retssager mv. ","2014",100.4
"Skatteministeriet ","Fællesudgifter ","Centralstyrelsen ","Renter ","2014",-4.2
"Skatteministeriet ","Forvaltning ","Skatte- og afgiftsforvaltning ","SKAT ","2014",4781.3
"Skatteministeriet ","Forvaltning ","Skatte- og afgiftsforvaltning ","Spillemyndigheden ","2014",3.7
"Skatteministeriet ","Forvaltning ","Skatte- og afgiftsforvaltning ","Gebyrer, retsafgifter mv. ","2014",-996.1
"Skatteministeriet ","Forvaltning ","Skatte- og afgiftsforvaltning ","Godtgørelser mv. ","2014",105.9
"Skatteministeriet ","Forvaltning ","Skatte- og afgiftsforvaltning ","Delvis komp. for købsmoms almennyttige for. ","2014",150
"Skatteministeriet ","Forvaltning ","Skatte- og afgiftsforvaltning ","Spillehalspuljen ","2014",0
"Skatteministeriet ","Forvaltning ","Skatte- og afgiftsforvaltning ","Reserver og budgetregulering ","2014",0
"Skatteministeriet ","Forvaltning ","Finansforvaltning ","Personlige fordringer ","2014",-326.2
"Skatteministeriet ","Forvaltning ","Finansforvaltning ","Overtagne studielånsfordringer ","2014",-32.1
"Justitsministeriet ","Fællesudgifter ","Centralstyrelsen ","Departementet ","2014",179.6
"Justitsministeriet ","Fællesudgifter ","Centralstyrelsen ","Retshjælpsinstitutioner mv. ","2014",20.9
"Justitsministeriet ","Fællesudgifter ","Centralstyrelsen ","Civilstyrelsen ","2014",68.6
"Justitsministeriet ","Fællesudgifter ","Centralstyrelsen ","Opsøgende retshjælp ","2014",2.6
"Justitsministeriet ","Fællesudgifter ","Centralstyrelsen ","Retslægerådet ","2014",10.5
"Justitsministeriet ","Fællesudgifter ","Centralstyrelsen ","Politiklagemyndigheden ","2014",19.8
"Justitsministeriet ","Fællesudgifter ","Centralstyrelsen ","Datatilsynet ","2014",22.2
"Justitsministeriet ","Fællesudgifter ","Centralstyrelsen ","Tilsyn med efterretningstjenesterne ","2014",7
"Justitsministeriet ","Fællesudgifter ","Centralstyrelsen ","Offerfonden ","2014",27.9
"Justitsministeriet ","Fællesudgifter ","Centralstyrelsen ","Information og uddannelse af bistandsværger ","2014",0.5
"Justitsministeriet ","Fællesudgifter ","Centralstyrelsen ","Reserver og budgetregulering ","2014",0
"Justitsministeriet ","Politiet og anklagemyndigheden mv. ","Fællesudgifter ","Strafferetspleje mv. ","2014",529.2
"Justitsministeriet ","Politiet og anklagemyndigheden mv. ","Politiet og anklagemyndigheden ","Politiet og den lokale anklagemyndighed mv. ","2014",8308.5
"Justitsministeriet ","Politiet og anklagemyndigheden mv. ","Politiet og anklagemyndigheden ","Bøder, park.afg., kørekort mv. ","2014",-1130.4
"Justitsministeriet ","Politiet og anklagemyndigheden mv. ","Politiet og anklagemyndigheden ","Radiokommunikation ","2014",142.2
"Justitsministeriet ","Politiet og anklagemyndigheden mv. ","Politiet og anklagemyndigheden ","Den Centrale Anklagemyndighed ","2014",302.5
"Justitsministeriet ","Politiet og anklagemyndigheden mv. ","Politiet og anklagemyndigheden ","Erstatn. i anledn. af strafferetlig forfølgn. ","2014",36
"Justitsministeriet ","Politiet og anklagemyndigheden mv. ","Politiet og anklagemyndigheden ","Kommunal parkeringskontrol ","2014",-104.7
"Justitsministeriet ","Politiet og anklagemyndigheden mv. ","Politiet og anklagemyndigheden ","Erstatning til ofre for forbrydelser ","2014",158.6
"Justitsministeriet ","Politiet og anklagemyndigheden mv. ","Politiet og anklagemyndigheden ","Det Kriminalpræventive Råd ","2014",9.2
"Justitsministeriet ","Politiet og anklagemyndigheden mv. ","Politiet og anklagemyndigheden ","Politiets Efterretningstjeneste ","2014",556.7
"Justitsministeriet ","Kriminalforsorg ","Kriminalforsorg ","Direktoratet for Kriminalforsorgen ","2014",139.2
"Justitsministeriet ","Kriminalforsorg ","Kriminalforsorg ","Kriminalforsorgen i anstalter og frihed ","2014",2863.3
"Justitsministeriet ","Retsvæsenet ","Fællesudgifter ","Domstolsstyrelsen ","2014",70.9
"Justitsministeriet ","Retsvæsenet ","Fællesudgifter ","Retterne ","2014",1586.4
"Justitsministeriet ","Retsvæsenet ","Fællesudgifter ","Procesbevillingsnævnet ","2014",17.3
"Justitsministeriet ","Retsvæsenet ","Fællesudgifter ","Tinglysning ","2014",113.7
"Justitsministeriet ","Retsvæsenet ","Sagsudgifter ","Sagsgodtgørelser mv. ","2014",91.9
"Justitsministeriet ","Retsvæsenet ","Sagsudgifter ","Fri proces og udgifter til advokathjælp ","2014",469.3
"Justitsministeriet ","Retsvæsenet ","Sagsudgifter ","Erstatninger ","2014",0.1
"Justitsministeriet ","Retsvæsenet ","Sagsindtægter ","Retsafgifter mv. ","2014",-430
"Forsvarsministeriet ","Fællesudgifter ","Centralstyrelsen ","Departementet ","2014",200.5
"Forsvarsministeriet ","Fællesudgifter ","Centralstyrelsen ","Centralt styrede initiativer ","2014",87.2
"Forsvarsministeriet ","Fællesudgifter ","Centralstyrelsen ","Reserver og budgetregulering ","2014",0
"Forsvarsministeriet ","Fællesudgifter ","Personale ","FMN Personalestyrelse, Egen virksomhed ","2014",1662.2
"Forsvarsministeriet ","Fællesudgifter ","Personale ","FMN Personalestyrelse, Funktionel virksomhed ","2014",307.1
"Forsvarsministeriet ","Fællesudgifter ","Personale ","FMN Personalestyrelse, Centralt Styrede Enhed ","2014",25.6
"Forsvarsministeriet ","Fællesudgifter ","Materiel og IT ","Materiel- og Indkøbsstyrelse ","2014",1199.6
"Forsvarsministeriet ","Fællesudgifter ","Materiel og IT ","Materieldrift ","2014",3845
"Forsvarsministeriet ","Fællesudgifter ","Materiel og IT ","Informatik Plan ","2014",601.1
"Forsvarsministeriet ","Fællesudgifter ","Materiel og IT ","Materielanskaffelser ","2014",1002.7
"Forsvarsministeriet ","Fællesudgifter ","Ejendomme ","Forsvarsministeriets Ejendomsstyrelse ","2014",409
"Forsvarsministeriet ","Fællesudgifter ","Ejendomme ","Etablissementsdrift ","2014",1635.2
"Forsvarsministeriet ","Fællesudgifter ","Ejendomme ","Bygge- og anlægsarbejder ","2014",152.7
"Forsvarsministeriet ","Fællesudgifter ","Ejendomme ","Provenu ved afhændelse af ejendomme ","2014",-192.6
"Forsvarsministeriet ","Fællesudgifter ","Regnskab ","Forsvarsministeriets Regnskabsstyrelse ","2014",71.5
"Forsvarsministeriet ","Militært forsvar ","Værnsfælles Forsvarskommando ","Værnsfælles Forsvarskommando ","2014",92.4
"Forsvarsministeriet ","Militært forsvar ","Værnsfælles Forsvarskommando ","Hæren ","2014",3244.9
"Forsvarsministeriet ","Militært forsvar ","Værnsfælles Forsvarskommando ","Søværnet ","2014",1493.8
"Forsvarsministeriet ","Militært forsvar ","Værnsfælles Forsvarskommando ","Flyvevåbnet ","2014",1752.3
"Forsvarsministeriet ","Militært forsvar ","Værnsfælles Forsvarskommando ","Specialoperationer ","2014",0
"Forsvarsministeriet ","Militært forsvar ","Værnsfælles Forsvarskommando ","Forsvarets Værksteder ","2014",0
