"NAVN","PARTI","STORKREDS","FACEBOOKSIDE","fbname","likes","talking.about","date"
"Helle Osther Friedrichsen","Enhedslisten","Nordsjællands Storkreds","https://www.facebook.com/pages/Helle-Osther-Friedrichsen/1480686755549319","Helle Osther Friedrichsen",838,307,"15-06-2015"
"Helle Thorning-Schmidt","Socialdemokratiet","Københavns Storkreds","http://www.facebook.com/hellethorningschmidt","Helle Thorning-Schmidt",187956,43763,"15-06-2015"
"Henrik Boye","Liberal Alliance","Sjællands Storkreds","https://www.facebook.com/henrikboyeLA","Henrik Boye",540,101,"15-06-2015"
"Henrik Dahl","Liberal Alliance","Sydjyllands Storkreds","https://www.facebook.com/HenrikDahlLA","Henrik Dahl i Folketinget",4996,1610,"15-06-2015"
"Henrik Dalgaard","Det Konservative Folkeparti","Nordjyllands Storkreds","https://www.facebook.com/henrikdalgaardfolketingskandidat","Henrik Dalgaard",422,374,"15-06-2015"
"Henrik Dam Kristensen","Socialdemokratiet","Østjyllands Storkreds","https://www.facebook.com/henrikdamkristensen","Henrik Dam Kristensen",6420,811,"15-06-2015"
"Henrik Halle","Alternativet","Fyns Storkreds","https://www.facebook.com/pages/Henrik-Halle/417601095065729","Henrik Halle",288,119,"15-06-2015"
"Henrik Qvist","Enhedslisten","Østjyllands Storkreds","https://www.facebook.com/pages/Henrik-Qvist-Enhedslisten-Skanderborg-og-Region-Midtjylland/187509994746640","Henrik Qvist, Enhedslisten Skanderborg og Region Midtjylland",138,3,"15-06-2015"
"Henrik Sass Larsen","Socialdemokratiet","Sjællands Storkreds","http://www.facebook.com/Henrik.Sass","Henrik Sass Larsen",9980,3153,"15-06-2015"
"Henrik Sørensen","Det Konservative Folkeparti","Københavns Omegns Storkreds","https://www.facebook.com/pages/Stem-Henrik-S%C3%B8rensen-i-folketinget/122569581108638","Stem Henrik S�rensen i folketinget",161,37,"15-06-2015"
"Henrik Viholm","Liberal Alliance","Nordjyllands Storkreds","https://www.facebook.com/pages/Henrik-Viholm/199126960111015","Henrik Viholm",214,2,"15-06-2015"
"Holger K. Nielsen","Socialistisk Folkeparti","Københavns Omegn","https://www.facebook.com/holgerk.nielsen.7","Holger K Nielsen",6992,922,"15-06-2015"
"Ida Auken","Radikale Venstre","Københavns Storkreds","https://www.facebook.com/ida.auken","Ida Auken",13319,6584,"15-06-2015"
"Ida Damborg","Socialistisk Folkeparti","Sydjyllands storkreds","https://www.facebook.com/idadamborg","Ida Damborg",446,69,"15-06-2015"
"Inger Støjberg","Venstre","Vestjyllands Storkreds","http://www.facebook.com/pages/Inger-St%C3%B8jberg/207401585966233","Inger St�jberg",52050,26678,"15-06-2015"
"Jacob Dahl Rabjerg","KristenDemokraterne","Vestjyllands storkreds","https://www.facebook.com/rabjerg.jacob","Jacob Rabjerg",307,304,"15-06-2015"
"Jacob Fuglsang Mikkelsen","Alternativet","Københavns Storkreds","https://www.facebook.com/jacobfuglsangalternativet","Jacob Fuglsang Mikkelsen - Alternativet",488,29,"15-06-2015"
"Jacob Jensen","Venstre","Sjællands Storkreds","https://www.facebook.com/mfjacobjensen","Jacob Jensen",3874,745,"15-06-2015"
"Jacob Juul Pedersen","Radikale Venstre","Københavns Omegns Storkreds","https://www.facebook.com/pages/Jacob-Juul-Pedersen/723315607705631","Jacob Juul Pedersen",199,87,"15-06-2015"
"Jacob Mark","Socialistisk Folkeparti","Sjællands storkreds","https://www.facebook.com/stemjacobmark","Jacob Mark",5393,2463,"15-06-2015"
"Jakob Arendt Laursen","Liberal Alliance","Sydjyllands Storkreds","https://www.facebook.com/jakobarendtlaursen","Jakob Arendt Laursen",117,12,"15-06-2015"
"Jakob Engel-Schmidt","Venstre","Københavns Omegns Storkreds","https://www.facebook.com/jakob.e.schmidt","Jakob Engel-Schmidt",5882,1555,"15-06-2015"
"Jakob Lavrsen","Radikale Venstre","Østjyllands Storkreds","https://da-dk.facebook.com/radikalejakob","Jakob Lavrsen",650,173,"15-06-2015"
"Jakob Rixen","Liberal Alliance","Østjyllands Storkreds","https://www.facebook.com/jakob.rixen","Jakob Rixen",876,350,"15-06-2015"
"Jan Berg Rasmussen","Dansk Folkeparti","Vestjyllands Storkreds","https://www.facebook.com/pages/Jan-Berg-Rasmussen/1553391398242506","Jan Berg Rasmussen",242,96,"15-06-2015"
"Jan E. Jørgensen","Venstre","Københavns Storkreds","https://www.facebook.com/jan.e.joergensen","Jan E. J�rgensen",3181,869,"15-06-2015"
"Jan Johansen","Socialdemokratiet","Fyns Storkreds","https://www.facebook.com/janjohansensocialdemokrat","Jan Johansen",1008,430,"15-06-2015"
"Jan Kristoffersen","Alternativet","Københavns Storkreds","https://www.facebook.com/pages/Jan-Kristoffersen/847995235257955","Jan Kristoffersen",278,46,"15-06-2015"
"Jan Salskov","Socialdemokratiet","Sydjyllands Storkreds","https://www.facebook.com/JanSalskoviFolketinget","Jan Salskov",120,24,"15-06-2015"
"Jane Heitmann","Venstre","Fyns Storkreds","https://www.facebook.com/pages/Jane-Heitmann-i-Folketinget-2015/100190170314199","Jane Heitmann i Folketinget 2015",571,209,"15-06-2015"
"Jane Knudsen Thomsen","Alternativet","Sydjyllands Storkreds","https://www.facebook.com/AlternativetJaneKnudsen","Jane Knudsen",124,31,"15-06-2015"
"Janus Kramer Møller","Udenfor partierne",NA,"https://www.facebook.com/janus.kramer.moller","Janus Kramer M�ller",103,0,"15-06-2015"
"Jeanne Guldbrand Toxværd","Enhedslisten","Københavns Omegns Storkreds","https://www.facebook.com/pages/Jeanne-Toxv%C3%A6rd/546074132131751","Jeanne Toxv�rd",469,53,"15-06-2015"
"Jens Henrik Kirk","Det Konservative Folkeparti","Vestjyllands Storkreds","https://www.facebook.com/kirkkonservative","Jens-Henrik Kirk",1561,779,"15-06-2015"
"Jens Joel","Socialdemokratiet","Østjyllands Storkreds","https://www.facebook.com/jensjoel","Jens Joel",7431,1917,"15-06-2015"
"Jens Vornøe","Dansk Folkeparti","Københavns Storkreds","https://www.facebook.com/Jensvornoedf","Jens Vorn�e DF",3714,3621,"15-06-2015"
"Jens Wenzel Andreasen","Enhedslisten","Københavns Omegns Storkreds","https://www.facebook.com/Jenswenzel314","Jens Wenzel Andreasen, Enhedslisten",190,65,"15-06-2015"
"Jeppe Bruus","Socialdemokratiet","Københavns Omegns Storkreds","https://www.facebook.com/jeppe.bruus","Jeppe Bruus",3168,1435,"15-06-2015"
"Jeppe Trolle","Radikale Venstre","Sjællands Storkreds","https://www.facebook.com/pages/St%C3%B8t-Jeppe-Trolle/140746872636746","St�t Jeppe Trolle",251,38,"15-06-2015"
"Jes Juul Lauesen","Radikale Venstre","Vestjyllands Storkreds","https://www.facebook.com/pages/Jes-Juul-Lauesen-i-Folketinget/129995043764720","Jes Juul Lauesen i Folketinget",101,45,"15-06-2015"
"Jes Victor Noldus Christiansen","Liberal Alliance","Fyns Storkreds","https://www.facebook.com/pages/Jes-Christiansen-Folketinget/525769564231035","Jes Christiansen Folketinget",372,112,"15-06-2015"
"Jesper Bræmer","Liberal Alliance","Østjyllands Storkreds","https://www.facebook.com/JesperBraemerLARanders","Jesper Br�mer - Liberal Alliance Randers",762,288,"15-06-2015"
"Jesper Hansen","Radikale Venstre","Nordjyllands Storkreds","https://www.facebook.com/jesperradikale","Jesper Hansen",156,78,"15-06-2015"
"Jesper Hostrup Hansen","Socialdemokratiet","Københavns Omegns Storkreds","https://www.facebook.com/jesperhostruppilitiker","Jesper Hostrup Hansen",47,12,"15-06-2015"
"Jesper Kiel","Enhedslisten","Fyns Storkreds","https://www.facebook.com/pages/Jesper-Kiel-Byr%C3%A5dsmedlem-for-Enhedslisten-i-Svendborg/8105654079","Jesper Kiel - Byr�dsmedlem for Enhedslisten i Svendborg",333,12,"15-06-2015"
"Jesper Krarup","Dansk Folkeparti","Fyns Storkreds","https://www.facebook.com/pages/Jesper-Krarup-Dansk-Folkeparti/159205840902830?ref=br_rs","Jesper Krarup, Dansk Folkeparti",1833,1042,"15-06-2015"
"Jesper Nørgaard Kjær","Alternativet","Østjyllands Storkreds","https://www.facebook.com/jesperalternativet","Jesper N�rgaard Kj�r - Alternativet",126,130,"15-06-2015"
"Jesper Petersen","Socialdemokratiet","Sydjyllands Storkreds","https://www.facebook.com/MFJesper","Jesper Petersen",5452,1343,"15-06-2015"
"Jette Philipsen","Det Konservative Folkeparti","Vestjyllands Storkreds","https://www.facebook.com/pages/Jette-Philipsen-i-Folketinget/1385629308350601","Jette Philipsen i Folketinget",166,80,"15-06-2015"
"Jimmy Eriksen","Liberal Alliance","Fyns Storkreds","https://www.facebook.com/jimmy.eriksen.7","Jimmy Steen Eriksen",391,36,"15-06-2015"
