"NAVN","PARTI","STORKREDS","FACEBOOKSIDE","fbname","likes","talking.about","date"
"Aamer Ahmad","Nationalpartiet","Sjællands Storkreds","https://www.facebook.com/aamer.ahmad","Aamer Ahmad",688,115,"08-06-2015"
"Abir Al-kalemji","Radikale Venstre","Fyns Storkreds","https://www.facebook.com/pages/Abir-Al-kalemji/527684960623598","Abir Al-kalemji",439,197,"08-06-2015"
"Aleks Jensen","Nationalpartiet","Nordsjællands Storkreds","https://www.facebook.com/pages/Aleks-Jensen/648662665278105","Aleks Jensen",197,81,"08-06-2015"
"Anahita Malakians","Venstre","Københavns Storkreds","https://www.facebook.com/anahitapolitik","Anahita Malakians",320,75,"08-06-2015"
"Anders Broholm","Venstre","Nordjyllands Storkreds","https://www.facebook.com/stembroholm","Anders Broholm",1720,916,"08-06-2015"
"Anders Buhl Christensen","Venstre","Østjyllands Storkreds","https://www.facebook.com/AndersBuhlVenstre","Anders Buhl-Christensen",563,310,"08-06-2015"
"Anders Houdam Andreasen","Socialdemokratiet","Vestjyllands Storkreds","https://www.facebook.com/Anders.Andreasen.S","Anders Andreasen",51,21,"08-06-2015"
"Anders Johansson","Det Konservative Folkeparti","Fyns Storkreds","https://www.facebook.com/andersretzjohansson","Anders Johansson",1523,387,"08-06-2015"
"Anders Kirkeby","Liberal Alliance","Fyns storkreds","https://www.facebook.com/AndersKirkebyFV15","Anders Kirkeby i Folketinget",344,148,"08-06-2015"
"Anders Samuelsen","Liberal Alliance","Nordsjællands Storkreds","http://www.facebook.com/AndersSamuelsenLA","Anders Samuelsen",56398,30983,"08-06-2015"
"Anders Stenumgaard Lind","Alternativet","Østjyllands Storkreds","https://www.facebook.com/pages/Anders-Stenumgaard-Lind/401098386718111","Anders Stenumgaard Lind",44,1,"08-06-2015"
"Anders Udengaard","Socialistisk Folkeparti","Vestjyllands storkreds","https://www.facebook.com/udengaard","Anders Udengaard",111,74,"08-06-2015"
"Andreas Albertsen","Socialistisk Folkeparti","Vestjyllands storkreds","https://www.facebook.com/andreas.albertsen","Andreas Albertsen",2645,595,"08-06-2015"
"Andreas Hastrup","Liberal Alliance","Sjællands Storkreds","https://www.facebook.com/pages/Andreas-Hastrup-Liberal-Alliance/547569822031033","Andreas Hastrup     Liberal Alliance",1275,401,"08-06-2015"
"Andreas Pourkamali","Radikale Venstre","Københavns Omegns Storkreds","https://www.facebook.com/andreas.pourkamali","Andreas Pourkamali",968,457,"08-06-2015"
"Andreas Steenberg","Radikale Venstre","Vestjyllands Storkreds","https://www.facebook.com/andreas.steenberg.1","Andreas Steenberg",2049,516,"08-06-2015"
"Ane Halsboe-Jørgensen","Socialdemokratiet","Nordjyllands Storkreds","https://www.facebook.com/stemhalsboe","Ane Halsboe-Jørgensen",3437,1523,"08-06-2015"
"Anette Skafte","Dansk Folkeparti","Københavns Omegns Storkreds","https://www.facebook.com/pages/DF-Anette-Skafte/776586579040173","DF Anette Skafte",242,32,"08-06-2015"
"Anna Hede Christensen","Dansk Folkeparti","Københavns Omegns Storkreds","https://www.facebook.com/AnnahedeDF","Anna Hede Christensen - Dansk Folkeparti",496,153,"08-06-2015"
"Anna Møbjerg","Nationalpartiet","Sydjyllands Storkreds","https://www.facebook.com/annamobjerg","Anna Møbjerg",242,79,"08-06-2015"
"Anne Hegelund","Enhedslisten","Østjyllands Storkreds","https://www.facebook.com/annehegelund.dk","Anne Hegelund",740,334,"08-06-2015"
"Anne Marie Geisler Andersen","Radikale Venstre","Nordsjællands Storkreds","https://www.facebook.com/anne.marie.geisler.andersen.politiker","Anne Marie Geisler Andersen",786,155,"08-06-2015"
"Anne Paulin","Socialdemokratiet","Vestjyllands Storkreds","https://www.facebook.com/AnnePaulin2","Anne Paulin",1763,1115,"08-06-2015"
"Anne Thomas","Alternativet","Bornholms Storkreds","https://www.facebook.com/AnnesPolitiskeGarage","Annes Politiske Garage",227,65,"08-06-2015"
"Annette Bolvig","Liberal Alliance","Østjyllands Storkreds","https://www.facebook.com/kv13.annettebolvig","Annette Bolvig i folketinget",217,31,"08-06-2015"
"Annette Vilhelmsen","Socialistisk Folkeparti","Fyns storkreds","https://www.facebook.com/annettevilhelmsen","Annette Vilhelmsen",7125,444,"08-06-2015"
"Arly Eskildsen","Socialistisk Folkeparti","Københavns Omegn","https://www.facebook.com/ArlyEskildsenSF","Arly Eskildsen",432,128,"08-06-2015"
"Arne Lindberg Callesen","Enhedslisten","Sydjyllands Storkreds","https://www.facebook.com/pages/Arne-Lindberg-Callesen/617789344946501","Arne Lindberg Callesen",43,1,"08-06-2015"
"Asif Ahmad","Nationalpartiet","Københavns Omegns Storkreds","https://www.facebook.com/pages/Asif-Ahmad/287062144826078","Asif Ahmad",481,117,"08-06-2015"
"Astrid Krag","Socialdemokratiet","Sjællands Storkreds","https://www.facebook.com/astrid.krag","Astrid Krag",20983,4496,"08-06-2015"
"August Vigen Smolarz","Socialistisk Folkeparti","Vestjyllands storkreds","https://www.facebook.com/augustvigensmolarz","August Vigen Smolarz",427,227,"08-06-2015"
"Balder Mørk Andersen","Socialistisk Folkeparti","Københavns storkreds","https://www.facebook.com/stembalder","Balder Mørk Andersen",378,108,"08-06-2015"
"BENEDIKTE ASK SKOTTE","Venstre","Sjællands Storkreds","https://www.facebook.com/pages/Benedikte-Ask-Skotte/536682579767128","Benedikte Ask Skotte",723,263,"08-06-2015"
"Benny Dall","Enhedslisten","Sydjyllands Storkreds","https://www.facebook.com/Koldingpolitik","Benny Dall",1013,52,"08-06-2015"
"Benny Engelbrecht","Socialdemokratiet","Sydjyllands Storkreds","https://www.facebook.com/BennyEngelbrecht","Benny Engelbrecht",7549,2278,"08-06-2015"
"Bertel Haarder","Venstre","Sjællands Storkreds","https://www.facebook.com/BertelHaarder","Bertel Haarder",8273,3286,"08-06-2015"
"Bina Seff","Alternativet","Nordsjællands Storkreds","https://www.facebook.com/binaalt","Bina Seff - Alternativet",398,67,"08-06-2015"
"Birgitte Kjøller Pedersen","Socialistisk Folkeparti","Bornholm","https://www.facebook.com/pages/Birgitte-Kj%C3%B8ller-Pedersen/123520157707593","Birgitte Kjøller Pedersen",168,14,"08-06-2015"
"Birgitte Nymann","Liberal Alliance","Østjyllands Storkreds","https://www.facebook.com/BirgitteNymannLA","Birgitte Nymann - Liberal Alliance",90,41,"08-06-2015"
"Bjarke Charlie Serritslev","Alternativet","Sydjyllands Storkreds","https://www.facebook.com/BjarkeCharlie","Bjarke Charlie Serritslev",451,124,"08-06-2015"
"Bjarne Andersen","Socialistisk Folkeparti","Østjyllands storkreds","https://www.facebook.com/favrskovifolketinget","Bjarne Andersen i Folketinget",430,187,"08-06-2015"
"Bjarne Corydon","Socialdemokratiet","Sydjyllands Storkreds","https://www.facebook.com/pages/Bjarne-Corydon/381757188518818","Bjarne Corydon",9977,1388,"08-06-2015"
"Bjarne Laustsen","Socialdemokratiet","Nordjyllands Storkreds","http://www.facebook.com/b.laustsen","Bjarne Laustsen",1292,646,"08-06-2015"
"Bjarne Lundgaard","Det Konservative Folkeparti","Østjyllands Storkreds","https://www.facebook.com/folketingskandidatbjarnelundgaard","Bjarne Lundgaard",88,80,"08-06-2015"
"Bjørn Bjerrehøj","Radikale Venstre","Fyns Storkreds","https://www.facebook.com/BjornBjerrehoj","Bjørn Bjerrehøj",260,90,"08-06-2015"
"Bo Fink","Enhedslisten","Nordjylland","https://www.facebook.com/pages/Bo-Fink/1416187805353623","Bo Fink",57,59,"08-06-2015"
"Bo Ritterbusch","Liberal Alliance","Nordjyllands Storkreds","https://www.facebook.com/pages/Bo-Ritterbusch/147949771940746","Bo Ritterbusch",358,34,"08-06-2015"
"Bo Steen Mikkelsen","Alternativet","Københavns omegns Storkreds","https://www.facebook.com/bosteenalternativet","Bo Steen Mikkelsen",537,349,"08-06-2015"
"Bodil Kvistgaard Olsen","Enhedslisten","Østjyllands Storkreds","https://www.facebook.com/favrskovft15","Bodil Kvistgaard Olsen",106,58,"08-06-2015"
"Brian Mikkelsen","Det Konservative Folkeparti","Sjællands Storkreds","http://www.facebook.com/pages/Brian-Mikkelsen/113836012012239","Brian Mikkelsen",12085,3191,"08-06-2015"
"Brigitte Klintskov Jerkel","Det Konservative Folkeparti","Sjællands Storkreds","https://www.facebook.com/BrigitteKlintskovJerkel","Brigitte Klintskov Jerkel",2663,502,"08-06-2015"
"Britt Bager","Venstre","Østjyllands Storkreds","https://www.facebook.com/stembrittbager","Britt Bager",4947,1397,"08-06-2015"
"Camilla Hersom","Radikale Venstre","Fyns Storkreds","https://www.facebook.com/camillahersom","Camilla Hersom",2242,384,"08-06-2015"
"Camilla Kampmann","Radikale Venstre","Nordsjællands Storkreds","https://www.facebook.com/radikalecamillakampmann","Camilla Kampmann",262,160,"08-06-2015"
"Carl Beck","Liberal Alliance","Bornholms Storkreds","https://www.facebook.com/pages/Carl-Beck/413851185456518","Carl Beck",265,9,"08-06-2015"
"Carl Holst","Venstre","Sydjyllands Storkreds","https://www.facebook.com/carlholstvenstre","Carl Holst",5493,603,"08-06-2015"
"Carl Valentin","Socialistisk Folkeparti","Fyns storkreds","https://www.facebook.com/CarlValentinSF","Carl Valentin",3176,1178,"08-06-2015"
"Carolina Magdalene Maier","Alternativet","Københavns Storkreds","https://www.facebook.com/carolinamagdalene","Carolina Magdalene Maier",1159,384,"08-06-2015"
"Carsten Bach","Liberal Alliance","Østjyllands Storkreds","https://www.facebook.com/carstenbachifolketinget","Carsten Bach i Folketinget",189,51,"08-06-2015"
"Carsten Hansen","Socialdemokratiet","Fyns Storkreds","https://www.facebook.com/tillidogtryghed","Carsten Hansen",5357,688,"08-06-2015"
"Carsten Zacho","Liberal Alliance","Københavns Omegns Storkreds","https://www.facebook.com/carsten.m.zacho","Carsten Zacho",235,42,"08-06-2015"
"Casper Karup Hedegaard","Radikale Venstre","Østjyllands Storkreds","https://www.facebook.com/casperkarup","Casper Karup Hedegaard",398,342,"08-06-2015"
"Casper Strunge","Det Konservative Folkeparti","Københavns Omegns Storkreds","https://www.facebook.com/cstrunge","Casper Strunge",2598,510,"08-06-2015"
"Charlotte Rosenberg","Venstre","Vestjyllands Storkreds","https://www.facebook.com/pages/Charlotte-Rosenberg-Folketingskandidat-for-Venstre/1442954625922140","Charlotte Rosenberg Folketingskandidat for Venstre",218,39,"08-06-2015"
"Chresten Anker Nielsen","Socialdemokratiet","Fyns Storkreds","https://www.facebook.com/chresten.anker.nielsen","Chresten Anker Nielsen",117,31,"08-06-2015"
"Christen Sørensen","Socialdemokratiet","Østjyllands Storkreds","https://www.facebook.com/christensoerensen45","Christen Sørensen",309,130,"08-06-2015"
"Christian Langballe","Dansk Folkeparti","Vestjyllands Storkreds","https://www.facebook.com/christian.langballe.7","Christian Langballe",1850,572,"08-06-2015"
"Christian Poll","Alternativet","Nordsjællands Storkreds","https://www.facebook.com/christianpollalternativet","Christian Poll - Alternativet",740,439,"08-06-2015"
"Christian Rabjerg Madsen","Socialdemokratiet","Sydjyllands Storkreds","https://www.facebook.com/christian.rabjerg","Christian Rabjerg Madsen",2222,952,"08-06-2015"
"Christian Scharling","Radikale Venstre","Københavns Storkreds","https://www.facebook.com/followscharling","Christian Peter Schmidt-Sørensen Dragsdahl Scharling",1015,305,"08-06-2015"
"Christian Wedell-Neergaard","Det Konservative Folkeparti","Sjællands Storkreds","https://www.facebook.com/stemchristian","Christian Wedell-Neergaard politik",568,125,"08-06-2015"
"Christina Egelund","Liberal Alliance","Nordjyllands Storkreds","https://www.facebook.com/stemegelund","Christina Egelund",7130,3633,"08-06-2015"
"Christine Antorini","Socialdemokratiet","Nordsjællands Storkreds","http://www.facebook.com/antorini","Christine Antorini",19897,3133,"08-06-2015"
"Claus Hermansen","Liberal Alliance","Nordjyllands Storkreds","https://www.facebook.com/claus.hermansen.liberal","Claus Hermansen - Liberal Alliance",397,67,"08-06-2015"
"Claus Hjort Frederiksen","Venstre","Nordsjællands Storkreds","https://www.facebook.com/ClausHjortFrederiksen","Claus Hjort Frederiksen",2224,869,"08-06-2015"
"Claus Kvist Hansen","Dansk Folkeparti","Østjyllands Storkreds","https://www.facebook.com/pages/Politiker-Claus-Kvist-Hansen-Dansk-Folkeparti/1413222358940007","Politiker Claus Kvist Hansen - Dansk Folkeparti",165,95,"08-06-2015"
"Colette Brix","Venstre","Københavns Storkreds","https://www.facebook.com/colettebrix","Colette Brix",105,58,"08-06-2015"
"Cæcilie Lyndgaard Andersen","Enhedslisten","Nordjyllands Storkreds","https://www.facebook.com/pages/C%C3%A6cilie-Lyndgaard-Andersen/220075434841151","Cæcilie Lyndgaard Andersen",399,8,"08-06-2015"
"Dan Arnløv Jørgensen","Det Konservative Folkeparti","Sydjyllands Storkreds","https://www.facebook.com/StemDanArnloev","Dan Arnløv",1133,191,"08-06-2015"
"Dan Jørgensen","Socialdemokratiet","Fyns Storkreds","https://www.facebook.com/danjorgensen","Dan Jørgensen",54928,20336,"08-06-2015"
"Daniel Nyboe Andersen","Radikale Venstre","Nordjyllands Storkreds","https://www.facebook.com/danielnyboeandersen","Daniel Nyboe Andersen",1807,333,"08-06-2015"
"Daniel Rugholm","Det Konservative Folkeparti","Nordjyllands Storkreds","https://www.facebook.com/rugholm","Daniel Rugholm",5153,1858,"08-06-2015"
"Daniel Toft Jakobsen","Socialdemokratiet","Østjyllands Storkreds","https://www.facebook.com/danieltoftjakobsen","Daniel Toft Jakobsen",989,254,"08-06-2015"
"Danny Knudsen Malkowski","Liberal Alliance","Københavns Storkreds","https://www.facebook.com/dannykmalkowski","Danny K. Malkowski",1877,1254,"08-06-2015"
"Dennis Flydtkjær","Dansk Folkeparti","Vestjyllands Storkreds","https://www.facebook.com/DennisFlydtkjaer","Dennis Flydtkjær",2383,1658,"08-06-2015"
"Dennis Schnell-Lauritzen","Socialdemokratiet","Københavns Storkreds","https://www.facebook.com/dennis.schnelllauritzen","Dennis Schnell Lauritzen",468,244,"08-06-2015"
"Dennis Ørsted Petersen","Socialistisk Folkeparti","Sydjyllands storkreds","https://www.facebook.com/stem.dennis.sf","Dennis Ørsted",261,184,"08-06-2015"
"Dorte Skovgård","Socialistisk Folkeparti","Sjællands storkreds","https://www.facebook.com/DorteSkovgaard.SF","Dorte Skovgård",597,104,"08-06-2015"
"Eigil Andersen","Socialistisk Folkeparti","Østjyllands storkreds","https://www.facebook.com/eigil.andersen.96","Eigil Andersen",2215,420,"08-06-2015"
"Elisabeth Ildal","Liberal Alliance","Nordsjællands Storkreds","https://www.facebook.com/elisabethildalliberalalliance","Elisabeth Ildal",611,215,"08-06-2015"
"Ellen Trane Nørby","Venstre","Sydjyllands Storkreds","https://www.facebook.com/ElleniFolketinget","Ellen Trane Nørby",10331,2606,"08-06-2015"
"Emilia Djomina Hansen","Liberal Alliance","Vestjyllands Storkreds","https://www.facebook.com/emiliaifolketinget","Emilia Djomina Hansen",371,121,"08-06-2015"
"Emma Katrine Lyng Svensson","Enhedslisten","Nordjyllands Storkreds","https://www.facebook.com/eklsvensson","Emma Katrine Lyng Svensson",39,12,"08-06-2015"
"Emrah Tuncer","Radikale Venstre","Sjællands Storkreds","https://www.facebook.com/emrah.radikale","Emrah Tuncer",1865,787,"08-06-2015"
"Erik Christensen","Socialdemokratiet","Fyns Storkreds","https://www.facebook.com/erik.christensen.186","Erik Christensen",1635,976,"08-06-2015"
"Erik Fischer","Alternativet","Københavns Storkreds","https://www.facebook.com/ErikValentinFischer","Erik Valentin Fischer",796,252,"08-06-2015"
"Erik Høgh-Sørensen","Dansk Folkeparti","Nordjyllands Storkreds","https://www.facebook.com/erikhoghsorensen","Erik Høgh-Sørensen",130,162,"08-06-2015"
"Erik Lund","Det Konservative Folkeparti","Nordsjællands Storkreds","https://www.facebook.com/eriklundpolitiker","Erik Lund, politiker",322,60,"08-06-2015"
"Erling Bonnesen","Venstre","Fyns Storkreds","https://www.facebook.com/erling.bonnesen","Erling Bonnesen",3805,691,"08-06-2015"
"Esben Lunde Larsen","Venstre","Vestjyllands Storkreds","https://www.facebook.com/EsbenLunde","Esben Lunde Larsen",1778,1724,"08-06-2015"
"Eva Flyvholm","Enhedslisten","Sjællands Storkreds","https://www.facebook.com/eva.flyvholm.enhedslisten","Eva Flyvholm",1160,446,"08-06-2015"
"Eva Kjer Hansen","Venstre","Sydjyllands Storkreds","https://www.facebook.com/evakjerhansen","Eva Kjer Hansen",6475,2922,"08-06-2015"
"Finn Sørensen","Enhedslisten","Københavns Storkreds","https://www.facebook.com/FinnSoerensenEL","Finn Sørensen",3939,1702,"08-06-2015"
"Flemming Møller Mortensen","Socialdemokratiet","Nordjyllands Storkreds","https://www.facebook.com/FlemmingMMortensen","Flemming Møller Mortensen",684,670,"08-06-2015"
"Franciska Rosenkilde","Alternativet","Københavns Storkreds","https://www.facebook.com/pages/Franciska-Rosenkilde/845591568834321","Franciska Rosenkilde",812,265,"08-06-2015"
"Frank Nørgaard Dam","Dansk Folkeparti","Sydjyllands Storkreds","https://www.facebook.com/pages/Frank-N%C3%B8rgaard-Dam/309151489240981","Frank Nørgaard Dam",45,14,"08-06-2015"
"Frank Tronborg","Socialistisk Folkeparti","Nordjyllands storkreds","https://www.facebook.com/stem.frank.tronborg","Frank Tronborg",153,14,"08-06-2015"
"Frede Skaaning","Socialdemokratiet","Fyns Storkreds","https://www.facebook.com/frede.skaaning","Frede Skaaning",1814,280,"08-06-2015"
"Frede Sørensen","Enhedslisten","Vestjyllands Storkreds","https://www.facebook.com/pages/Frede-Kloch-S%C3%B8rensen/603481559702255","Frede Kloch Sørensen",24,2,"08-06-2015"
"Frederik Damgaard","Liberal Alliance","Sjællands Storkreds","https://www.facebook.com/frederik.la.damgaard","Frederik Damgaard",531,98,"08-06-2015"
"Gert Ingolf Johansen","Dansk Folkeparti","Nordjyllands Storkreds","https://www.facebook.com/gertingolfjohansen","Gert Ingolf Johansen",972,507,"08-06-2015"
"Gianjenthiran Velmurugan","Radikale Venstre","Nordjyllands Storkreds","https://www.facebook.com/giajenthiran","Giajenthiran Velmurugan",2374,564,"08-06-2015"
"Githa Nelander","Dansk Folkeparti","Københavns Storkreds","https://www.facebook.com/pages/Githa-Nelander-FT-Kandidat-K%C3%B8benhavns-StorkredsN%C3%B8rrebro/196377383709756","Githa Nelander FT Kandidat Københavns Storkreds/Nørrebro",478,183,"08-06-2015"
"Gitte Madsen","Radikale Venstre","Fyns Storkreds","https://www.facebook.com/gittemadsensydfyn","Gitte Madsen",200,86,"08-06-2015"
"Hans Andersen","Venstre","Nordsjællands Storkreds","https://www.facebook.com/hansandersen.venstre","Hans Andersen",5418,1729,"08-06-2015"
"Hans Chr. Schmidt","Venstre","Sydjyllands Storkreds","https://www.facebook.com/hans.c.schmidt.58","Hans Christian Schmidt",3867,914,"08-06-2015"
"Hans Henrik Sørensen","Dansk Folkeparti","Østjyllands Storkreds","https://www.facebook.com/pages/Hans-Henrik-S%C3%B8rensen/211734319000635","Hans Henrik Sørensen",215,38,"08-06-2015"
"Helge Vagn Jacobsen","Radikale Venstre","Københavns Storkreds","https://www.facebook.com/Helgevagnjacobsen","Helge Vagn Jacobsen",393,86,"08-06-2015"
"Helle Bonnesen","Det Konservative Folkeparti","Københavns Storkreds","https://www.facebook.com/hellebonnesen.fk","Helle  Bonnesen",714,41,"08-06-2015"
"Helle Bækkelund Sørensen","Radikale Venstre","Østjyllands Storkreds","https://www.facebook.com/helle.radikale","Helle Bækkelund Sørensen",109,153,"08-06-2015"
"Helle Dam","Socialdemokratiet","Vestjyllands Storkreds","https://www.facebook.com/HelleDamSocialdemokrat","Helle Dam - Socialdemokraterne",196,99,"08-06-2015"
"Helle Løvgreen Mølvig","Radikale Venstre","Nordsjællands Storkreds","https://www.facebook.com/hellemolvig","Helle Løvgreen Mølvig",243,165,"08-06-2015"
"Helle Nielsen","Enhedslisten","Østjyllands Storkreds","https://www.facebook.com/hellenielsen.politik","Helle Nielsen",195,69,"08-06-2015"
"Helle Osther Friedrichsen","Enhedslisten","Nordsjællands Storkreds","https://www.facebook.com/pages/Helle-Osther-Friedrichsen/1480686755549319","Helle Osther Friedrichsen",832,375,"08-06-2015"
"Helle Thorning-Schmidt","Socialdemokratiet","Københavns Storkreds","http://www.facebook.com/hellethorningschmidt","Helle Thorning-Schmidt",183484,40014,"08-06-2015"
"Henrik Boye","Liberal Alliance","Sjællands Storkreds","https://www.facebook.com/henrikboyeLA","Henrik Boye",528,99,"08-06-2015"
"Henrik Dahl","Liberal Alliance","Sydjyllands Storkreds","https://www.facebook.com/HenrikDahlLA","Henrik Dahl i Folketinget",4798,1580,"08-06-2015"
"Henrik Dalgaard","Det Konservative Folkeparti","Nordjyllands Storkreds","https://www.facebook.com/henrikdalgaardfolketingskandidat","Henrik Dalgaard",398,372,"08-06-2015"
"Henrik Dam Kristensen","Socialdemokratiet","Østjyllands Storkreds","https://www.facebook.com/henrikdamkristensen","Henrik Dam Kristensen",6374,1465,"08-06-2015"
"Henrik Halle","Alternativet","Fyns Storkreds","https://www.facebook.com/pages/Henrik-Halle/417601095065729","Henrik Halle",245,88,"08-06-2015"
"Henrik Qvist","Enhedslisten","Østjyllands Storkreds","https://www.facebook.com/pages/Henrik-Qvist-Enhedslisten-Skanderborg-og-Region-Midtjylland/187509994746640","Henrik Qvist, Enhedslisten Skanderborg og Region Midtjylland",136,3,"08-06-2015"
"Henrik Sass Larsen","Socialdemokratiet","Sjællands Storkreds","http://www.facebook.com/Henrik.Sass","Henrik Sass Larsen",9895,3128,"08-06-2015"
"Henrik Sørensen","Det Konservative Folkeparti","Københavns Omegns Storkreds","https://www.facebook.com/pages/Stem-Henrik-S%C3%B8rensen-i-folketinget/122569581108638","Stem Henrik Sørensen i folketinget",159,50,"08-06-2015"
"Henrik Viholm","Liberal Alliance","Nordjyllands Storkreds","https://www.facebook.com/pages/Henrik-Viholm/199126960111015","Henrik Viholm",25,1,"08-06-2015"
"Holger K. Nielsen","Socialistisk Folkeparti","Københavns Omegn","https://www.facebook.com/holgerk.nielsen.7","Holger K Nielsen",6951,997,"08-06-2015"
"Ida Auken","Radikale Venstre","Københavns Storkreds","https://www.facebook.com/ida.auken","Ida Auken",12770,15028,"08-06-2015"
"Ida Damborg","Socialistisk Folkeparti","Sydjyllands storkreds","https://www.facebook.com/idadamborg","Ida Damborg",441,86,"08-06-2015"
"Inger Støjberg","Venstre","Vestjyllands Storkreds","http://www.facebook.com/pages/Inger-St%C3%B8jberg/207401585966233","Inger Støjberg",51199,20473,"08-06-2015"
"Jacob Dahl Rabjerg","KristenDemokraterne","Vestjyllands storkreds","https://www.facebook.com/rabjerg.jacob","Jacob Rabjerg",266,278,"08-06-2015"
"Jacob Fuglsang Mikkelsen","Alternativet","Københavns Storkreds","https://www.facebook.com/jacobfuglsangalternativet","Jacob Fuglsang Mikkelsen - Alternativet",483,42,"08-06-2015"
"Jacob Jensen","Venstre","Sjællands Storkreds","https://www.facebook.com/mfjacobjensen","Jacob Jensen",3850,743,"08-06-2015"
"Jacob Juul Pedersen","Radikale Venstre","Københavns Omegns Storkreds","https://www.facebook.com/pages/Jacob-Juul-Pedersen/723315607705631","Jacob Juul Pedersen",186,110,"08-06-2015"
"Jacob Mark","Socialistisk Folkeparti","Sjællands storkreds","https://www.facebook.com/stemjacobmark","Jacob Mark",5283,2485,"08-06-2015"
"Jakob Arendt Laursen","Liberal Alliance","Sydjyllands Storkreds","https://www.facebook.com/jakobarendtlaursen","Jakob Arendt Laursen",114,9,"08-06-2015"
"Jakob Engel-Schmidt","Venstre","Københavns Omegns Storkreds","https://www.facebook.com/jakob.e.schmidt","Jakob Engel-Schmidt",5817,1523,"08-06-2015"
"Jakob Lavrsen","Radikale Venstre","Østjyllands Storkreds","https://da-dk.facebook.com/radikalejakob","Jakob Lavrsen",558,150,"08-06-2015"
"Jakob Rixen","Liberal Alliance","Østjyllands Storkreds","https://www.facebook.com/jakob.rixen","Jakob Rixen",766,350,"08-06-2015"
"Jan Berg Rasmussen","Dansk Folkeparti","Vestjyllands Storkreds","https://www.facebook.com/pages/Jan-Berg-Rasmussen/1553391398242506","Jan Berg Rasmussen",241,82,"08-06-2015"
"Jan E. Jørgensen","Venstre","Københavns Storkreds","https://www.facebook.com/jan.e.joergensen","Jan E. Jørgensen",3125,197,"08-06-2015"
"Jan Johansen","Socialdemokratiet","Fyns Storkreds","https://www.facebook.com/janjohansensocialdemokrat","Jan Johansen",942,464,"08-06-2015"
"Jan Kristoffersen","Alternativet","Københavns Storkreds","https://www.facebook.com/pages/Jan-Kristoffersen/847995235257955","Jan Kristoffersen",262,54,"08-06-2015"
"Jan Salskov","Socialdemokratiet","Sydjyllands Storkreds","https://www.facebook.com/JanSalskoviFolketinget","Jan Salskov",117,70,"08-06-2015"
"Jane Heitmann","Venstre","Fyns Storkreds","https://www.facebook.com/pages/Jane-Heitmann-i-Folketinget-2015/100190170314199","Jane Heitmann i Folketinget 2015",551,175,"08-06-2015"
"Jane Knudsen Thomsen","Alternativet","Sydjyllands Storkreds","https://www.facebook.com/AlternativetJaneKnudsen","Jane Knudsen",118,15,"08-06-2015"
"Janus Kramer Møller","Udenfor partierne",NA,"https://www.facebook.com/janus.kramer.moller","Janus Kramer Møller",103,0,"08-06-2015"
"Jeanne Guldbrand Toxværd","Enhedslisten","Københavns Omegns Storkreds","https://www.facebook.com/pages/Jeanne-Toxv%C3%A6rd/546074132131751","Jeanne Toxværd",390,133,"08-06-2015"
"Jens Henrik Kirk","Det Konservative Folkeparti","Vestjyllands Storkreds","https://www.facebook.com/kirkkonservative","Jens-Henrik Kirk",1523,842,"08-06-2015"
"Jens Joel","Socialdemokratiet","Østjyllands Storkreds","https://www.facebook.com/jensjoel","Jens Joel",7313,1755,"08-06-2015"
"Jens Vornøe","Dansk Folkeparti","Københavns Storkreds","https://www.facebook.com/Jensvornoedf","Jens Vornøe DF",3669,3356,"08-06-2015"
"Jens Wenzel Andreasen","Enhedslisten","Københavns Omegns Storkreds","https://www.facebook.com/Jenswenzel314","Jens Wenzel Andreasen, Enhedslisten",182,72,"08-06-2015"
"Jeppe Bruus","Socialdemokratiet","Københavns Omegns Storkreds","https://www.facebook.com/jeppe.bruus","Jeppe Bruus",3127,1673,"08-06-2015"
"Jeppe Trolle","Radikale Venstre","Sjællands Storkreds","https://www.facebook.com/pages/St%C3%B8t-Jeppe-Trolle/140746872636746","Støt Jeppe Trolle",249,48,"08-06-2015"
"Jes Juul Lauesen","Radikale Venstre","Vestjyllands Storkreds","https://www.facebook.com/pages/Jes-Juul-Lauesen-i-Folketinget/129995043764720","Jes Juul Lauesen i Folketinget",81,42,"08-06-2015"
"Jes Victor Noldus Christiansen","Liberal Alliance","Fyns Storkreds","https://www.facebook.com/pages/Jes-Christiansen-Folketinget/525769564231035","Jes Christiansen Folketinget",349,249,"08-06-2015"
"Jesper Bræmer","Liberal Alliance","Østjyllands Storkreds","https://www.facebook.com/JesperBraemerLARanders","Jesper Bræmer - Liberal Alliance Randers",638,264,"08-06-2015"
"Jesper Hansen","Radikale Venstre","Nordjyllands Storkreds","https://www.facebook.com/jesperradikale","Jesper Hansen",129,75,"08-06-2015"
"Jesper Hostrup Hansen","Socialdemokratiet","Københavns Omegns Storkreds","https://www.facebook.com/jesperhostruppilitiker","Jesper Hostrup Hansen",43,14,"08-06-2015"
"Jesper Kiel","Enhedslisten","Fyns Storkreds","https://www.facebook.com/pages/Jesper-Kiel-Byr%C3%A5dsmedlem-for-Enhedslisten-i-Svendborg/8105654079","Jesper Kiel - Byrådsmedlem for Enhedslisten i Svendborg",332,32,"08-06-2015"
